anime_id,title,title_english,title_japanese,anime_type,episodes,status,aired_from,aired_to,score,scored_by,rank,popularity_rank,members,favorites,source,rating,season,season_year,duration,studios,producers,genres,extracted_at
77,Mahou Shoujo Lyrical Nanoha A's,Magical Girl Lyrical Nanoha A's,魔法少女リリカルなのは エース,TV,13.0,Finished Airing,2005-10-02T00:00:00+00:00,2005-12-25T00:00:00+00:00,7.95,35385,782,2951,69064,1017,Original,PG-13 - Teens 13 or older,fall,2005.0,25 min per ep,Seven Arcs,Starchild Records|Omnibus Promotion,Action|Comedy|Drama,2026-01-25T21:29:16.239357
79,Shuffle!,Shuffle!,SHUFFLE! (シャッフル!),TV,24.0,Finished Airing,2005-07-08T00:00:00+00:00,2006-01-06T00:00:00+00:00,7.0,139055,4595,939,291025,1481,Visual novel,R+ - Mild Nudity,summer,2005.0,24 min per ep,asread.,Xebec|Lantis|Kadokawa Shoten|KlockWorx|Memory-Tech,Comedy|Fantasy|Romance|Ecchi,2026-01-25T21:29:18.799335
80,Kidou Senshi Gundam,Mobile Suit Gundam,機動戦士ガンダム,TV,43.0,Finished Airing,1979-04-07T00:00:00+00:00,1980-01-26T00:00:00+00:00,7.77,67502,1176,1742,149196,2623,Original,PG-13 - Teens 13 or older,spring,1979.0,24 min per ep,Sunrise,Sotsu|Nagoya Broadcasting Network,Drama|Sci-Fi,2026-01-25T21:29:20.190222
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,Mobile Suit Gundam: The 08th MS Team,機動戦士ガンダム 第08MS小隊,OVA,12.0,Finished Airing,1996-01-25T00:00:00+00:00,1999-07-25T00:00:00+00:00,7.99,51083,737,2462,93008,1203,Original,PG-13 - Teens 13 or older,,,24 min per ep,Sunrise,Atelier Musa,Adventure|Drama|Romance|Sci-Fi,2026-01-25T21:29:21.391209
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,Mobile Suit Gundam 0080: War in the Pocket,機動戦士ガンダム 0080 ポケットの中の戦争,OVA,6.0,Finished Airing,1989-03-25T00:00:00+00:00,1989-08-25T00:00:00+00:00,8.0,38246,716,2948,69143,1201,Original,PG-13 - Teens 13 or older,,,27 min per ep,Sunrise,Bandai Visual,Drama|Sci-Fi,2026-01-25T21:29:22.494020
83,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,Mobile Suit Gundam: The 08th MS Team - Miller's Report,機動戦士ガンダム 第08MS小隊 ミラーズ・リポート,Movie,1.0,Finished Airing,1998-08-01T00:00:00+00:00,,6.74,7270,5941,6078,14851,5,Original,PG-13 - Teens 13 or older,,,52 min,Sunrise,Sotsu|Atelier Musa,Drama|Romance|Sci-Fi,2026-01-25T21:29:23.702711
84,Kidou Senshi Gundam 0083: Stardust Memory,Mobile Suit Gundam 0083: Stardust Memory,機動戦士ガンダム0083 STARDUST MEMORY,OVA,13.0,Finished Airing,1991-05-23T00:00:00+00:00,1992-09-24T00:00:00+00:00,7.21,28705,3506,3490,51095,275,Original,PG-13 - Teens 13 or older,,,28 min per ep,Sunrise,Bandai Visual,Drama|Romance|Sci-Fi,2026-01-25T21:29:24.912357
85,Kidou Senshi Zeta Gundam,Mobile Suit Zeta Gundam,機動戦士Ζガンダム,TV,50.0,Finished Airing,1985-03-02T00:00:00+00:00,1986-02-22T00:00:00+00:00,7.9,44292,897,2579,86261,2641,Original,PG-13 - Teens 13 or older,spring,1985.0,24 min per ep,Sunrise,Sotsu|Nagoya Broadcasting Network,Drama|Romance|Sci-Fi,2026-01-25T21:29:26.109269
86,Kidou Senshi Gundam ZZ,Mobile Suit Gundam ZZ,機動戦士ガンダムZZ,TV,47.0,Finished Airing,1986-03-01T00:00:00+00:00,1987-01-31T00:00:00+00:00,6.68,25391,6329,3517,50282,203,Original,PG-13 - Teens 13 or older,spring,1986.0,24 min per ep,Sunrise,Sotsu|Nagoya Broadcasting Network,Comedy|Drama|Sci-Fi,2026-01-25T21:29:27.403902
87,Kidou Senshi Gundam: Gyakushuu no Char,Mobile Suit Gundam: Char's Counterattack,機動戦士ガンダム 逆襲のシャア,Movie,1.0,Finished Airing,1988-03-12T00:00:00+00:00,,7.69,34409,1412,3249,57877,592,Novel,PG-13 - Teens 13 or older,,,1 hr 59 min,Sunrise,Sotsu|Nozomi Entertainment|Atelier Musa,Drama|Sci-Fi,2026-01-25T21:29:28.623401
88,Kidou Senshi Gundam F91,Mobile Suit Gundam F91,機動戦士ガンダムＦ91,Movie,1.0,Finished Airing,1991-03-16T00:00:00+00:00,,6.59,20198,6889,4133,37263,90,Original,PG-13 - Teens 13 or older,,,2 hr,Sunrise,Sotsu|Shochiku|Atelier Musa|Nagoya Broadcasting Network,Drama|Sci-Fi,2026-01-25T21:29:29.867083
90,Shin Kidou Senki Gundam Wing,Mobile Suit Gundam Wing,新機動戦記ガンダムW,TV,49.0,Finished Airing,1995-04-07T00:00:00+00:00,1996-03-29T00:00:00+00:00,7.66,94252,1475,1590,170082,2451,Original,PG-13 - Teens 13 or older,spring,1995.0,24 min per ep,Sunrise,TV Asahi,Drama|Sci-Fi,2026-01-25T21:29:31.087606
94,Kidou Senshi Gundam SEED Destiny,Mobile Suit Gundam SEED Destiny,機動戦士ガンダムSEED DESTINY,TV,50.0,Finished Airing,2004-10-09T00:00:00+00:00,2005-10-01T00:00:00+00:00,7.17,69278,3714,2129,116177,1152,Original,R - 17+ (violence & profanity),fall,2004.0,24 min per ep,Sunrise,Sotsu|Mainichi Broadcasting System|Sony Music Entertainment,Drama|Romance|Sci-Fi,2026-01-25T21:29:32.481356
95,Turn A Gundam,∀ Gundam,∀ガンダム,TV,50.0,Finished Airing,1999-04-09T00:00:00+00:00,2000-04-14T00:00:00+00:00,7.8,19350,1116,3346,54830,1227,Original,PG-13 - Teens 13 or older,spring,1999.0,24 min per ep,Sunrise,Sotsu|Fuji TV,Adventure|Award Winning|Drama|Romance|Sci-Fi,2026-01-25T21:29:33.674597
96,Kidou Butouden G Gundam,Mobile Fighter G Gundam,機動武闘伝Gガンダム,TV,49.0,Finished Airing,1994-04-01T00:00:00+00:00,1995-03-31T00:00:00+00:00,7.59,39922,1705,2810,74870,1112,Original,PG-13 - Teens 13 or older,spring,1994.0,24 min per ep,Sunrise,TV Asahi|Sotsu,Drama|Romance|Sci-Fi,2026-01-25T21:29:35.237033
97,Last Exile,Last Exile,LAST EXILE（ラストエグザイル）,TV,26.0,Finished Airing,2003-04-08T00:00:00+00:00,2003-09-30T00:00:00+00:00,7.78,73699,1158,1462,185686,1939,Original,PG-13 - Teens 13 or older,spring,2003.0,24 min per ep,Gonzo,GDH|Victor Entertainment|TV Tokyo Music,Action|Adventure|Sci-Fi,2026-01-25T21:29:35.985826
98,Mai-HiME,My-Hime,舞-HiME,TV,26.0,Finished Airing,2004-10-01T00:00:00+00:00,2005-04-01T00:00:00+00:00,7.39,53407,2558,2061,121190,1149,Original,PG-13 - Teens 13 or older,fall,2004.0,23 min per ep,Sunrise,Bandai Visual|TV Tokyo Music,Action|Girls Love,2026-01-25T21:29:37.193080
99,Mai-Otome,My-Otome,舞-乙HiME,TV,26.0,Finished Airing,2005-10-07T00:00:00+00:00,2006-03-31T00:00:00+00:00,7.27,26234,3162,3387,53931,313,Original,PG-13 - Teens 13 or older,fall,2005.0,23 min per ep,Sunrise,Bandai Visual|Lantis|TV Tokyo Music,Comedy|Drama|Fantasy,2026-01-25T21:29:38.400692
100,Shin Shirayuki-hime Densetsu Prétear,Prétear: The New Legend of Snow White,新白雪姫伝説プリーティア,TV,13.0,Finished Airing,2001-04-04T00:00:00+00:00,2001-06-27T00:00:00+00:00,7.15,30231,3811,2969,68421,463,Manga,PG-13 - Teens 13 or older,spring,2001.0,23 min per ep,HAL Film Maker,Kadokawa Shoten|Rondo Robe,Drama|Romance,2026-01-25T21:29:39.579944
101,Air,Air,AIR,TV,12.0,Finished Airing,2005-01-07T00:00:00+00:00,2005-03-25T00:00:00+00:00,7.27,158441,3126,895,310856,2725,Visual novel,PG-13 - Teens 13 or older,winter,2005.0,24 min per ep,Kyoto Animation,Pony Canyon|TBS|Movic,Drama|Romance|Supernatural,2026-01-25T21:29:40.775216
102,Aishiteruze Baby★★,"Babe, My Love",愛してるぜ ベイベ★★,TV,26.0,Finished Airing,2004-04-03T00:00:00+00:00,2004-10-09T00:00:00+00:00,7.43,55122,2331,2240,107097,563,Manga,PG-13 - Teens 13 or older,spring,2004.0,25 min per ep,TMS Entertainment,Animax|Toei Video,Comedy|Drama|Romance,2026-01-25T21:29:42.136052
103,Akazukin Chacha,Red Riding Hood Chacha,赤ずきんチャチャ,TV,74.0,Finished Airing,1994-01-07T00:00:00+00:00,1995-06-30T00:00:00+00:00,7.41,6249,2468,5688,17733,104,Manga,G - All Ages,winter,1994.0,24 min per ep,Gallop,Nihon Ad Systems|Shueisha,Adventure|Comedy|Romance,2026-01-25T21:29:43.277900
